customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
GTOK-7469,Male,0,No,No,18,Yes,No,DSL,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),97.18,1679.32,No
SWKK-7437,Male,0,No,No,14,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,83.74,1227.97,No
XCVU-1751,Female,1,Yes,Yes,33,Yes,No,No,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,22.22,677.16,No
UALZ-5809,Male,0,No,No,63,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,85.77,5076.31,No
POOS-6382,Female,0,Yes,No,48,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),99.55,4835.75,No
ESGU-8613,Male,0,Yes,No,45,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,One year,No,Electronic check,109.92,4933.84,Yes
YNRZ-8941,Male,0,No,No,50,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,98.29,4658.29,No
TOGL-7203,Female,0,Yes,No,10,Yes,Yes,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,105.0,966.86,No
RHDB-5593,Female,0,Yes,Yes,3,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),60.92,165.97,No
VRZL-1937,Female,0,No,Yes,40,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,52.86,2236.09,No
NWYH-4147,Female,0,Yes,No,63,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),19.53,1190.94,No
ZYMI-0868,Female,0,Yes,No,0,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,No,One year,Yes,Electronic check,111.65, ,No
XALH-7207,Female,0,No,No,8,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,81.27,694.13,No
CCAE-9698,Male,0,No,Yes,38,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,108.62,4109.88,Yes
