gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,avg_monthly_spend
Male,0,0,0,18,1,No,DSL,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,0,Bank transfer (automatic),97.18,1679.32,0,1-2 years,93.3
Male,0,0,0,14,1,Yes,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,1,Mailed check,83.74,1227.97,0,1-2 years,87.71
Female,1,1,1,33,1,No,No,No internet service,No,No internet service,No,No,No,Month-to-month,1,Mailed check,22.22,677.16,0,2-4 years,20.52
Male,0,0,0,63,1,Yes,No,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,1,Electronic check,85.77,5076.31,0,4+ years,80.58
Female,0,1,0,48,1,No,No,Yes,No internet service,Yes,Yes,No internet service,No,Two year,1,Credit card (automatic),99.55,4835.75,0,2-4 years,100.74
Male,0,1,0,45,1,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,One year,0,Electronic check,109.92,4933.84,1,2-4 years,109.64
Male,0,0,0,50,1,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,1,Electronic check,98.29,4658.29,0,4+ years,93.17
Female,0,1,0,10,1,Yes,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,1,Electronic check,105.0,966.86,0,0-1 year,96.69
Female,0,1,1,3,1,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),60.92,165.97,0,0-1 year,55.32
Female,0,0,1,40,1,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,0,Mailed check,52.86,2236.09,0,2-4 years,55.9
Female,0,1,0,63,1,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,0,Credit card (automatic),19.53,1190.94,0,4+ years,18.9
Female,0,1,0,0,1,No,No,No internet service,Yes,No,No internet service,No internet service,No,One year,1,Electronic check,111.65,1955.46,0,0-1 year,111.65
Female,0,0,0,8,1,No,DSL,Yes,No,Yes,No,Yes,No,One year,1,Electronic check,81.27,694.13,0,0-1 year,86.77
Male,0,0,1,38,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,0,Electronic check,108.62,4109.88,1,2-4 years,108.15
Male,0,0,1,64,1,No,DSL,No,No internet service,No,Yes,No internet service,No,One year,0,Credit card (automatic),113.45,7787.22,0,4+ years,121.68
Female,1,0,1,16,1,Yes,No,No,Yes,No internet service,No,No,No,One year,1,Bank transfer (automatic),108.33,1753.84,0,1-2 years,109.62
Male,0,1,1,66,1,Yes,Fiber optic,No internet service,No,No,No,Yes,No internet service,One year,1,Mailed check,34.54,2436.11,0,4+ years,36.91
Male,1,1,0,0,1,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,34.63,1955.46,1,0-1 year,34.63
Female,0,0,0,23,1,Yes,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Month-to-month,1,Electronic check,104.19,2190.08,0,1-2 years,95.22
